date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
2012-01-01,7.0,0.0,13.0,11.9,12.2,11.3,7.2,100480.0,0.0
2012-01-02,1.0,6.3,49.0,12.6,8.1,4.2,2.0,100850.0,0.0
2012-01-03,5.0,1.4,25.0,11.7,8.7,4.7,7.8,100310.0,0.0
2012-01-04,4.0,0.4,18.0,11.0,8.1,4.4,2.0,101420.0,0.0
2012-01-05,4.0,3.5,37.0,10.6,8.3,5.5,0.2,100500.0,0.0
2012-01-06,3.0,4.8,44.0,10.6,7.0,3.3,0.0,102380.0,0.0
2012-01-07,6.0,2.2,31.0,10.4,7.0,3.4,0.0,102190.0,0.0
2012-01-08,7.0,0.1,15.0,12.8,8.9,7.3,0.0,102680.0,0.0
2012-01-09,7.0,0.5,20.0,11.4,9.8,6.8,0.2,102970.0,0.0
2012-01-10,7.0,0.7,22.0,11.2,10.0,8.6,0.0,103330.0,0.0
2012-01-11,5.0,2.6,35.0,13.6,9.0,6.7,0.0,103300.0,0.0
2012-01-12,4.0,1.5,28.0,7.1,10.1,6.6,0.0,102800.0,0.0
2012-01-13,0.0,6.1,53.0,6.5,3.7,0.2,0.0,103300.0,0.0
2012-01-14,1.0,6.3,55.0,6.7,1.7,-3.1,0.2,103010.0,0.0
2012-01-15,1.0,6.4,56.0,7.2,2.5,-1.8,0.0,102480.0,0.0
2012-01-16,0.0,7.1,60.0,8.7,2.9,-1.4,0.2,102540.0,0.0
2012-01-17,3.0,2.1,34.0,12.4,3.1,-2.5,0.6,102770.0,0.0
2012-01-18,7.0,0.0,15.0,11.0,5.9,-0.7,4.0,102390.0,0.0
2012-01-19,5.0,1.8,33.0,11.3,9.7,8.4,0.8,101880.0,0.0
2012-01-20,6.0,0.0,16.0,12.8,7.7,4.0,0.0,101960.0,0.0
2012-01-21,6.0,1.9,35.0,12.0,10.1,7.4,0.0,101290.0,0.0
2012-01-22,5.0,0.7,25.0,8.6,8.7,5.4,0.0,101460.0,0.0
2012-01-23,6.0,0.0,17.0,10.4,6.0,3.4,1.4,101910.0,0.0
2012-01-24,6.0,0.0,17.0,10.2,4.9,-0.6,6.2,101930.0,0.0
2012-01-25,8.0,0.0,17.0,9.1,7.1,3.9,1.0,101520.0,0.0
2012-01-26,5.0,3.5,48.0,9.3,7.7,6.3,0.2,100900.0,0.0
2012-01-27,1.0,7.1,69.0,6.7,5.8,2.2,0.4,101920.0,0.0
2012-01-28,5.0,1.2,33.0,4.9,4.3,1.9,0.0,102820.0,0.0
2012-01-29,8.0,0.0,18.0,4.3,3.1,1.3,0.0,103090.0,0.0
2012-01-30,7.0,0.1,21.0,2.3,2.4,0.5,0.0,102620.0,0.0
2012-01-31,5.0,0.2,23.0,3.9,0.6,-1.1,0.0,102630.0,0.0
2012-02-01,3.0,7.6,77.0,2.0,1.5,-0.9,0.0,103260.0,0.0
2012-02-02,0.0,8.1,81.0,2.2,-0.6,-3.2,0.0,103610.0,0.0
2012-02-03,2.0,6.6,73.0,1.9,-1.2,-4.5,0.0,103950.0,2.0
2012-02-04,3.0,4.2,59.0,2.4,-2.2,-6.3,10.4,103600.0,0.0
2012-02-05,8.0,0.0,21.0,4.5,-1.1,-4.6,0.0,102740.0,7.0
2012-02-06,8.0,0.0,21.0,4.1,2.6,0.7,0.2,103310.0,3.0
2012-02-07,5.0,4.7,66.0,0.7,2.6,1.1,0.0,104000.0,0.0
2012-02-08,8.0,0.0,22.0,1.8,-1.4,-3.5,0.0,104120.0,0.0
2012-02-09,8.0,0.4,30.0,2.4,0.3,-1.3,2.0,103940.0,0.0
2012-02-10,5.0,2.4,51.0,2.4,0.3,-1.9,0.0,103820.0,4.0
2012-02-11,1.0,8.2,92.0,4.8,-2.6,-7.6,0.0,103690.0,2.0
2012-02-12,7.0,0.0,24.0,6.8,-1.0,-6.8,0.0,103470.0,2.0
2012-02-13,7.0,0.1,27.0,8.7,2.8,-1.3,0.6,102770.0,0.0
2012-02-14,6.0,0.5,34.0,11.2,5.9,3.0,0.0,102490.0,0.0
2012-02-15,6.0,2.9,60.0,11.2,7.9,4.6,0.0,102560.0,0.0
2012-02-16,4.0,2.1,53.0,12.2,6.9,2.5,0.0,102760.0,0.0
2012-02-17,7.0,0.1,29.0,11.4,8.7,5.1,0.0,102330.0,0.0
2012-02-18,6.0,0.4,35.0,7.3,9.7,8.0,2.8,101270.0,0.0
2012-02-19,1.0,7.2,97.0,9.5,3.7,0.1,0.0,102440.0,0.0
2012-02-20,5.0,5.3,84.0,12.5,3.2,-3.1,0.0,103210.0,0.0
2012-02-21,8.0,1.2,48.0,12.5,6.9,1.3,0.0,102890.0,0.0
2012-02-22,8.0,0.1,32.0,16.8,10.3,8.1,0.8,102400.0,0.0
2012-02-23,4.0,5.9,93.0,14.7,12.6,8.3,0.0,102320.0,0.0
2012-02-24,7.0,1.9,58.0,12.2,11.9,9.1,0.0,102750.0,0.0
2012-02-25,4.0,6.5,100.0,13.3,9.8,7.4,0.0,102780.0,0.0
2012-02-26,1.0,8.5,117.0,11.5,7.6,1.9,0.0,102840.0,0.0
2012-02-27,8.0,0.0,31.0,13.1,8.4,5.2,0.0,102500.0,0.0
2012-02-28,8.0,0.0,31.0,13.0,10.9,8.6,0.0,102410.0,0.0
2012-02-29,8.0,0.0,32.0,14.4,10.8,8.5,0.0,102470.0,0.0
2012-03-01,5.0,5.2,105.0,11.7,9.1,3.7,0.0,102630.0,0.0
2012-03-02,,3.4,88.0,15.0,7.5,3.2,0.0,102560.0,0.0
2012-03-03,5.0,3.4,89.0,9.4,10.8,6.6,2.2,101880.0,0.0
2012-03-04,8.0,0.0,37.0,10.3,8.0,6.5,7.4,101670.0,0.0
2012-03-05,4.0,7.8,135.0,8.9,6.8,3.2,0.0,102190.0,0.0
2012-03-06,4.0,1.1,62.0,12.4,5.4,1.8,0.2,102540.0,0.0
2012-03-07,5.0,1.0,62.0,12.1,8.1,3.8,3.8,101760.0,0.0
2012-03-08,3.0,5.1,114.0,11.3,6.8,1.4,0.0,103080.0,0.0
2012-03-09,7.0,0.0,40.0,15.8,8.1,4.8,0.0,103470.0,0.0
2012-03-10,7.0,2.6,88.0,16.4,12.2,8.6,0.0,103670.0,0.0
2012-03-11,1.0,6.7,135.0,14.9,10.9,5.3,0.2,103690.0,0.0
2012-03-12,4.0,4.8,116.0,10.3,9.3,3.7,0.0,103510.0,0.0
2012-03-13,6.0,2.6,91.0,13.5,7.6,4.9,0.0,103470.0,0.0
2012-03-14,5.0,5.0,121.0,16.4,9.3,5.1,0.0,103130.0,0.0
2012-03-15,2.0,7.6,151.0,9.9,8.8,1.1,0.0,102460.0,0.0
2012-03-16,8.0,0.0,44.0,11.1,6.7,3.5,0.0,101900.0,0.0
2012-03-17,7.0,0.0,45.0,10.4,9.2,7.3,2.2,101290.0,0.0
2012-03-18,3.0,5.4,132.0,14.0,6.5,2.6,0.2,101750.0,0.0
2012-03-19,0.0,11.0,191.0,15.5,7.5,0.9,0.0,103210.0,0.0
2012-03-20,4.0,5.3,134.0,16.5,9.4,3.3,0.0,103480.0,0.0
2012-03-21,4.0,8.2,167.0,18.2,12.2,7.9,0.0,103400.0,0.0
2012-03-22,1.0,8.3,170.0,20.3,11.9,5.6,0.0,102920.0,0.0
2012-03-23,1.0,9.6,185.0,20.1,13.4,6.5,0.0,102660.0,0.0
2012-03-24,0.0,10.1,192.0,15.8,13.4,6.6,0.0,102860.0,0.0
2012-03-25,0.0,9.6,189.0,18.9,10.6,5.3,0.0,103360.0,0.0
2012-03-26,0.0,11.6,211.0,19.3,11.5,4.0,0.0,103630.0,0.0
2012-03-27,0.0,11.9,216.0,22.8,12.1,4.8,0.0,103630.0,0.0
2012-03-28,0.0,11.4,213.0,20.4,13.5,4.1,0.0,103250.0,0.0
2012-03-29,0.0,11.2,213.0,16.9,13.3,6.1,0.0,102790.0,0.0
2012-03-30,0.0,10.4,207.0,11.7,11.8,6.7,0.0,102410.0,0.0
2012-03-31,6.0,0.0,54.0,13.7,9.2,6.6,0.0,102020.0,0.0
2012-04-01,0.0,11.6,223.0,15.8,7.8,1.8,0.0,102060.0,0.0
2012-04-02,1.0,10.2,210.0,15.1,9.6,3.3,0.0,101090.0,0.0
2012-04-03,4.0,4.5,142.0,10.3,9.3,3.4,2.6,100310.0,0.0
2012-04-04,5.0,4.7,146.0,9.3,6.4,2.4,0.2,100740.0,0.0
2012-04-05,6.0,0.0,57.0,13.1,7.8,6.2,0.0,101890.0,0.0
2012-04-06,3.0,7.5,185.0,11.2,6.1,-0.9,0.2,101590.0,0.0
2012-04-07,7.0,0.1,64.0,14.2,8.5,5.8,0.6,101270.0,0.0
2012-04-08,7.0,0.0,59.0,11.6,10.4,6.6,1.8,101210.0,0.0
2012-04-09,8.0,0.0,59.0,14.8,9.9,8.2,4.0,99660.0,0.0
2012-04-10,2.0,8.3,201.0,14.1,10.1,5.4,1.2,99030.0,0.0
2012-04-11,2.0,8.3,203.0,13.2,8.7,3.3,0.0,99730.0,0.0
2012-04-12,4.0,4.4,152.0,13.4,7.9,2.5,2.6,100320.0,0.0
2012-04-13,3.0,4.7,157.0,12.3,8.1,2.8,0.0,100510.0,0.0
2012-04-14,6.0,6.5,184.0,10.0,9.2,6.1,0.0,100830.0,0.0
2012-04-15,3.0,7.1,193.0,12.3,6.5,3.0,0.0,102040.0,0.0
2012-04-16,4.0,7.5,200.0,14.8,6.4,0.5,1.4,102450.0,0.0
2012-04-17,6.0,4.5,159.0,12.4,10.0,5.2,3.6,100120.0,0.0
2012-04-18,8.0,0.6,87.0,11.9,8.9,5.4,5.2,98110.0,0.0
2012-04-19,7.0,1.8,115.0,13.1,9.0,6.1,2.0,98470.0,0.0
2012-04-20,5.0,6.7,194.0,14.8,8.6,4.0,7.2,99330.0,0.0
